Screen Name,Name,Description,URL,Location,Time Zone,Number of Tweets,Followers Count,Following ,Listed
@ygsong,Young Song ( 송영길 ),Founder and CEO of NComputing & ZeroDesktop. Angel Investor with Booga Ventures (Palo Alto) and Primer 1 & 2 (Korea). 미국 실리콘밸리에서 벤쳐를 앤젤 투자하고 육성하고 있습니다.,,"Palo Alto, USA (California)",Pacific Time (US & Canada),1293,4825,974,241
@alexzhard,Alex Zhardanovsky,"Just a few clicks to fill my food bowl, no long lines and nowhere to go.  http://t.co/jE98YLV8S7",http://t.co/jE98YLV8S7,New York,Eastern Time (US & Canada),64,257,140,6
@FredHLerner,Fred Lerner,http://t.co/NonshI8mL0 Founder & CEO,http://t.co/PZpp8uEn89,"Huntington Beach, CA",Pacific Time (US & Canada),394,261,454,12
@chrisbaggott,chrisbaggott,SaaS Entrepreneur. evangelist for engaging yet high ROI social media marketing & SEO. CEO/Co-founder of Compendium follow us @compendium,http://t.co/2j0HmJyfMQ,"Indianapolis, IN",Eastern Time (US & Canada),2774,4685,1728,388
@markanaples,Mark Naples,Founder and Managing Partner of WIT Strategy,http://t.co/aejdC98rkv,"NYC, SF, and Philly",,28,492,339,13
@gregisenberg,Greg Isenberg,building @findyourislands,https://t.co/7FflOxGM6A,"San Francisco, CA",Quito,14296,8667,898,239
@dblasing,Daniel Blasingame,using technology to make life better,http://t.co/ZHiPu7AuJD,Arkansas & SF Bay,Central Time (US & Canada),2618,650,944,17
@gk_,gk_,Philosopher,http://t.co/KUtmCTPuYi,,Eastern Time (US & Canada),331,145,0,14
@mgjohnson,Mark G. Johnson,Mainer; liker of surf. Currently: @atticventures Founder @hotelchatter,,RDU-BOS-JFK-PWM,Central Time (US & Canada),1564,625,325,28
@dknemeyer,Dirk Knemeyer,Social futurist. Using my foresight to offer better paths for humanity. A founder & chairman @goinvo. Creative director @artanagames. Grateful husband+father.,http://t.co/ZoEmF9bdvT,Virtually everywhere,Eastern Time (US & Canada),4893,1193,81,87
@miketatum,mike tatum,"I like to build things with people and computers. Dad, Husband and the Mayor of Simpleton",https://t.co/7kNppyNC2n,"California, USA",Pacific Time (US & Canada),562,442,170,40
@alanknit,Alan Knitowski,"Ex-military serial entrepreneur and father of four beautiful, talented and athletic kids.",http://t.co/kPXKmBf59N,"Austin, TX",Central Time (US & Canada),2113,1160,1083,66
@Digital_Jim,Jim Nichols,Digital Strategist for major corporations. Check out my Forbes blogs http://t.co/CjPmYmtrex,http://t.co/1N8VLsLIaz,New Jersey,Eastern Time (US & Canada),67,120,79,4
@jameskelm,James Kelm,"Building tech at Yahoo. Ex startups, Google, Apple, Sun. Outside work, love travel, diving, and cello.",http://t.co/wfbtYsF31e,"San Francisco, CA",Pacific Time (US & Canada),301,257,331,20
@bwiegand,Brian Wiegand,"SVP - Digital, Inmar",https://t.co/B8T9qWPZHb,"Madison, WI",Central Time (US & Canada),164,1130,180,79
@djhersh,djhersh,"Entrepreneur, advisor, coach.",http://t.co/8pUSq0nh88,"Mill Valley, CA",Pacific Time (US & Canada),495,1943,625,98
@readmeray,Ray Henderson,"Edu-tech entrepreneur, seed stage investor, open standards advocate, friend of the Oxford Comma. Learning is liberation.",https://t.co/hofnthN7Ce,,Eastern Time (US & Canada),537,2934,1617,154
@willhartmann,Will Hartmann,"Travel, tech, skiing, wine, startups, hiking, and so on",,"Seattle, WA",Pacific Time (US & Canada),31,60,48,8
@glennkelman,glennkelman,Redfin CEO!,http://t.co/YWw3iu2F9Z,"Seattle, San Francisco",Pacific Time (US & Canada),1035,8283,344,409
@WhatClinic,WhatClinic.com,"We help 16 million patients every year find the right clinic for dental, cosmetic and beauty treatments. Need independent data on prices or trends? Tweet us!",http://t.co/JUF8ZQNF0f,International - Dublin  HQ,Casablanca,2296,3014,2934,44
@BartDP,Bart De Pelsmaeker,"Marketer. Designer. Entrepreneur. CEO https://t.co/pfJI2uUa1F #webbuilder w/o coding | #CRO #SEO | organic-foodie | chocolate, beer, cycling = Flemish roots",http://t.co/MoHPia9TAT,Los Angeles,,3877,15116,9066,511
@timguleri,Tim Guleri,Venture Capitalist in search of BIG IDEAS and VISIONARY entrepreneurs; Sierra Ventures,http://t.co/kqqSemhkIv,"Menlo Park, CA",Pacific Time (US & Canada),367,1340,409,113
@caleblamb,Caleb Lamb,Managing Partner | Product Lead @aguapartners,https://t.co/t2eoIZEhb9,"Charlotte, NC",Pacific Time (US & Canada),686,590,1281,68
@selinato,Selina Tobaccowala,,http://t.co/ahdS4GRdgn,san francisco,,95,1359,212,54
@SanjayPat,Sanjay Parthasarathy,"Engineer, Artist, Business guy. Entrepreneur.",http://t.co/igPsTiWEt1,"Chennai, India + Seattle, WA",Chennai,1061,2790,1141,81
@claycorman,Clay Corman,,,,Central Time (US & Canada),76,58,129,0
@namekz,Namek Zu'bi,VC @ Silicon Badia,http://t.co/Ik3IGr71n0,"New York, NY",Eastern Time (US & Canada),2288,2677,637,63
@cstoller,Chad Stoller,"superfragilistic, most of the time. managing partner, ipg media lab. tomorrow's attention, today.",http://t.co/6LkPayyf8a,"ÜT: 40.742427,-73.980488",Eastern Time (US & Canada),8013,3152,1087,303
@RyanGirardot,Ryan Girardot,"Talking #sports and all things awesome. That especially includes my company, @PlayersRev (#LeadTheRevolution) and #startup #business.",http://t.co/Em39m2hu5u,"Dallas, Texas",Central Time (US & Canada),3786,971,456,10
@robertafshar,Robert Afshar,"Founded 3 internet companies. All successful. Last company LeadClick Media took no investment and sold for $200mm. Currently, running a Hedge Fund & Angel Fund.",http://t.co/M1FAjEHPMH,Las Vegas,Alaska,7,52,29,2
@NickSturiale,Nick Sturiale,http://t.co/QXnK72CNhD,,"Palo Alto, CA",Arizona,116,233,140,16
@wsjim,Jim Riley,Improving #HealthIT as founder & CEO at http://t.co/LO3ByR8sQw - the Enterprie Cloud EHR. Founded http://t.co/Mu03hs5H4O and sold to #Oracle. Ex-fighter pilot.,http://t.co/EslKKwP0yT,,Eastern Time (US & Canada),244,366,589,29
@cayajose,Caya,"Dad. TEDx Speaker. CEO of @Slidebean, a @500Startups Company- ",http://t.co/Ax9TYULAJz,NYC/Costa Rica,Central Time (US & Canada),2345,2560,978,50
@medriscoll,Michael E. Driscoll,"Founder + CEO @Metamarkets.  Investor @DCVC. I ♥ data, analytics, & visualization.",http://t.co/W35tbMEAZJ,"San Francisco, CA",Pacific Time (US & Canada),2029,14666,1120,1230
@m1rose28,Mark Rose,"Product, Motorola",http://t.co/1ML3lZWFD4,"Sunnyvale, CA",Pacific Time (US & Canada),14,164,58,11
@piotrwilam,Piotr Wilam,early stage B2B investing in Europe @InnovationNest,http://t.co/msrA7xC3hk,,Greenland,1517,3731,787,137
@Apeism,ByJCAdams,APSM Leader. RILLA® Representative. Gorillastrator.,https://t.co/k3agdm837b,London,London,18234,995,665,56
@schemers,Roland Schemers,startup!,http://t.co/WPbGmvhcEC,Silicon Valley,Pacific Time (US & Canada),970,123,223,5
@CustEx,CustEx,Suggest product improvements to large vendors & get paid.,http://t.co/NicnaXqORr,,Pacific Time (US & Canada),457,789,162,11
@AdamL,Adam Lehman,Founder @Lancelot / Neworks,http://t.co/bE5SoVFkZc,"D.C./MD, USA",Eastern Time (US & Canada),747,425,239,20
